EXIT VELO (MPH),DISTANCE,ANGLE,OUTCOME,PITCH SPEED,DATE
122.2,286,-3.9,Single,95.8,10/1/17
121.1,382,24.6,Home Run,84.5,6/10/17
119.8,253,3.1,Single,91.9,6/8/17
119.4,435,16.5,Home Run,97.1,4/28/17
119,227,7.9,Double,85.2,5/5/17
118.7,117,4.2,Double,92.4,5/2/17
118.7,467,22.7,Home Run,89.5,9/28/17
118.6,495,28.4,Home Run,84.7,6/11/17
118.5,13,-10.4,Single,91.8,4/28/17
118.4,457,17,Home Run,92.2,7/4/17
118.4,349,13.1,Double,86.4,7/8/17
118.3,484,25.7,Home Run,93.1,9/30/17
118.3,106,18.1,Single,88.2,6/2/17
118.2,462,26.5,Home Run,87.5,8/25/17
118.1,24,-5,Field Out,80.9,4/5/17
117.8,245,11.6,Double,92.2,9/14/17
117.7,325,11.8,Field Out,97.2,9/18/17
117.6,144,6,Field Error,94.3,7/4/17
117.3,330,8.8,Single,96.5,5/31/17
117.3,279,12,Single,87.4,7/28/17
117.3,151,-5.8,Field Out,77.2,6/20/17
117.2,449,21.6,Home Run,93.4,9/14/17
117.2,22,-4.6,Field Out,91.3,4/10/17
117.2,110,-5.8,Fielders Choice Out,94.1,7/2/17
117.1,356,6.2,Double,97.2,7/22/17
117.1,457,34.7,Home Run,86.9,8/16/17
116.8,384,19.2,Home Run,93.6,9/27/17
116.7,419,17.9,Home Run,76.1,9/23/17
116.7,399,17.4,Home Run,78.2,9/20/17
116.7,276,-5,Single,94.5,9/7/17
116.5,335,11.1,Field Out,83.4,7/3/17
116.5,162,5.1,Single,98.4,4/12/17
116.3,430,25.6,Home Run,90.8,5/29/17
116.3,30,-1.9,Single,93.8,5/13/17
116.3,406,19.4,Home Run,92.7,6/15/17
116.3,319,11,Double,88.9,6/10/17
116.2,313,11.3,Single,92,7/7/17
116.2,258,10.2,Double,92.4,4/6/17
116.2,322,14.7,Field Out,86.4,5/20/17
116.2,237,-8.5,Single,91.2,8/27/17
116.2,381,14.7,Double,89.7,6/3/17
116.2,490,25.7,Home Run,89.5,9/17/17
116.1,123,5.2,Field Out,93.7,4/18/17
116.1,462,25.1,Home Run,92,4/21/17
116,114,4.3,Grounded Into Double Play,88.7,4/18/17
116,482,26.5,Home Run,92.3,8/18/17
116,147,-5.2,Force Out,87.6,9/30/17
116,471,19,Home Run,96.9,6/10/17
116,89,-7,Field Out,90.3,4/4/17
116,255,4.6,Single,90.3,9/29/17
123.4,134,-14.1,Grounded Into Double Play,94.3,4/12/16
123.2,69,-12.6,Field Out,88.2,4/21/16
120.1,226,-5.6,Single,83.6,4/10/16
119.8,132,-4.9,Force Out,89.3,6/7/16
119.3,270,1.7,Single,90.9,5/13/16
118.9,245,5.9,Single,91.7,5/14/16
118.7,301,12.2,Double,82.3,7/8/16
118.5,262,10.3,Single,95.4,6/24/16
118.2,62,-3.4,Field Out,91.4,4/8/16
